,,Lowes.com,,,,,,,,,,,,,,,,
,MODEL MATCH,BRAND,MODEL NUMBER,MSRP,MAP,MODEL CHECKED,MSRP CHECK,PRICE CHECK,NET PRICE CHECK,AVAILABLE CHECK,NEXT AVAILABLE CHECK,ETA CHECK,Collected @,Status,MSRP Difference,,Status,Mean
,FALSE,GE APPLIANCES,GDL22KCWSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDL20KCSBS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF650SYVFS,$899.00,$596.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF650SSJSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF650SMVES,$899.00,$596.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF650SMJES,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF650SGJWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF650SGJBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF650SFJDS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF645SSNSS,$899.00,$899.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF645SMNES,$899.00,$899.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF645SGNWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF645SGNBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF640HSMSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF640HMMES,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF640HGMWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF630PSMSS,$749.00,$749.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF630PMMES,$749.00,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF630PGMWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF630PGMBB,$649.00,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF630PFMDS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF610PSJSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF610PMJES,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF610PGJWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF610PGJBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF570SSJSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF570SSFSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF570SGJWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF570SGJCC,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF570SGJBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF570SGFWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF570SGFCC,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF570SGFBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF565SSNSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF550PSRSS,$729.00,$459.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF550PMRES,$729.00,$459.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF550PGRWW,$679.00,$461.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF550PGRBB,$679.00,$461.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF540HSFSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF540HSDSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF540HMFES,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF540HGDWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF540HGDBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF535PSRSS,$649.00,$433.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF535PGRWW,$599.00,$435.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF535PGRCC,$599.00,$569.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF535PGRBB,$599.00,$435.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE,GDF535PGR5WW,$599.00,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF530PSMSS,$649.00,$649.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF530PMMES,$649.00,$649.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF530PGMWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF530PGMCC,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF530PGMBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF520PSJSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF520PSFSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF520PSDSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF520PMJES,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF520PGJWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF520PGJCC,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF520PGJBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF520PGDWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF520PGDCC,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF520PGDBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF511PSRSS,$609.00,$609.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF511PSMSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF511PGRWW,$559.00,$559.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF511PGRBB,$559.00,$559.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF511PGMBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF510PSRSS,$599.00,$599.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDF510PSMSS,$559.00,,,,,,,,,,Something went wrong,,,,
